source	source_label	source_level	target	target_label	relation	tier	hops_source	hops_target	rules
v10139	Schließzylinder Hecktür	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
v10140	Schließzylinder Satz	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Hülle<-Seed+H3|Seed+H7
v10141	Schließzylinder Schiebetür	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
v10142	Schloss Heckdeckel	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
v10143	Schloss Hecktür	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
v10144	Schloss Motorhaube	baugruppe	e262156	Scharniere, Verschlüsse & weitere Motorhaubenteile	<	seed	0	0	Seed+H3
v10145	Schlosszapfen	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10151	Spiegelglas	baugruppe	e262163	Spiegelglas	=	seed	0	0	Seed
v10152	Stellelement für Zentralverriegelung	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10154	Stütze Heckwischer	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10161	Tankklappe	baugruppe	e262167	Tankdeckel & Zubehör	<	seed	0	0	Seed+H3
v10162	Tankklappenzug	baugruppe	e262167	Tankdeckel & Zubehör	<	seed	0	0	Seed+H3
v10163	Tankverschluss	baugruppe	e262072	Tankdeckel	<	seed	0	0	Seed+H3
v10167	Türbremse	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
v10168	Türfeststeller	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
v10169	Türschloss	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
v10179	Vorderwand	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10181	Wischerarm	baugruppe	e174113	Wischerarme	=	seed	0	0	Seed
v10182	Wischergetriebe	baugruppe	e262179	Weitere Scheibenwischerteile	<	seed	0	0	Seed+H4
v10191	Antenne elektrisch	baugruppe	e33639	Fahrzeugantennen	<	seed	0	0	Seed+H3
v10192	Blinker	baugruppe	e33717	Blinkleuchten	<	seed	0	0	Seed+H3
v10193	Blinker Außenspiegel	baugruppe	e33717	Blinkleuchten	<	seed	0	0	Hülle<-Seed+H3|Seed+H7
v10194	Blinker Kotflügel	baugruppe	e33717	Blinkleuchten	<	seed	0	0	Seed+H3
v10205	Fensterheber	baugruppe	e33706	Fensterheber & -motoren	<	seed	0	0	Seed+H3
v10206	Hauptfernscheinwerfer	baugruppe	e33710	Frontscheinwerfer	<	seed	0	0	Seed+H3
v10207	Fernscheinwerfer	baugruppe	e33710	Frontscheinwerfer	<	seed	0	0	Seed+H3
v10210	Hauptscheinwerfer	baugruppe	e33710	Frontscheinwerfer	<	seed	0	0	Seed+H3
v10220	Kabel Tür	baugruppe	e179847	Kabel, Kabelbäume & Steckverbinder	<	seed	0	0	Seed+H3
v10223	Kennzeichenleuchte	baugruppe	e262208	Kennzeichenbeleuchtung	<	seed	0	0	Seed+H3
v10233	Motor Fensterheber	baugruppe	e33706	Fensterheber & -motoren	<	seed	0	0	Seed+H3
v10234	Motor Klappscheinwerfer	baugruppe	e177708	Elektromotoren	<	seed	0	0	Seed+H3
v10236	Motor Leuchtweitenregulierung	baugruppe	e177708	Elektromotoren	<	seed	0	0	Seed+H3
v10237	Motor Schiebedach	baugruppe	e262172	Panorama-, Schiebedächer & Teile	<	seed	0	0	Seed+H3
v10238	Motor Verdeck	baugruppe	e177708	Elektromotoren	<	seed	0	0	Seed+H3
v10240	Nebelscheinwerfer	baugruppe	e33709	Nebelscheinwerfer	<	seed	0	0	Seed+H3
v10241	Nebelschlussleuchte	baugruppe	e33716	Rück- & Bremsleuchten	<	seed	0	0	Seed+H3
v10247	Parkleuchte	baugruppe	e174065	Sonstige	<	seed	0	0	Seed+H4
v10260	Rückleuchte	baugruppe	e33716	Rück- & Bremsleuchten	<	seed	0	0	Seed+H3
v10261	Rückleuchte Leiterplatte	baugruppe	e33716	Rück- & Bremsleuchten	<	seed	0	0	Seed+H3
v10262	Rückleuchtenband	baugruppe	e33716	Rück- & Bremsleuchten	<	seed	0	0	Seed+H3
v10278	Scheinwerferglas	baugruppe	e33710	Frontscheinwerfer	<	seed	0	0	Seed+H3
v10281	Stand-/Blinkleuchte	baugruppe	e33717	Blinkleuchten	<	seed	0	0	Seed+H3
v10283	Standleuchte	baugruppe	e33715	Seitenmarkierungsleuchten	<	seed	0	0	Seed+H3
v10294	Temperaturfühler	baugruppe	e33578	Sonstige	<	seed	0	0	Seed+H4
v10303	Wischermotor	baugruppe	e61941	Wischermotoren & -gestänge	<	seed	0	0	Seed+H3
v10305	Zentralverriegelung	baugruppe	e33578	Sonstige	<	seed	0	0	Seed+H4
v10337	Abschlussblech	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10338	Auspuffblende	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10339	Ausstellscheibe	baugruppe	e6781	Weitere Autoglas- & Fensterteile	<	seed	0	0	Seed+H4
v10340	Dach Cabrio	baugruppe	e262171	Hardtops, Autodächer & Teile	<	seed	0	0	Seed+H3
v10341	Dach mit Sonnendachausschnitt	baugruppe	e262171	Hardtops, Autodächer & Teile	<	seed	0	0	Seed+H3
v10342	Dach Targa	baugruppe	e262171	Hardtops, Autodächer & Teile	<	seed	0	0	Seed+H3
v10343	Dreieckscheibe	baugruppe	e6781	Weitere Autoglas- & Fensterteile	<	seed	0	0	Seed+H4
v10344	Faltdach	baugruppe	e262171	Hardtops, Autodächer & Teile	<	seed	0	0	Seed+H3
v10345	Frontblech	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10346	Frontscheibe ohne Bandfilter	baugruppe	e6781	Weitere Autoglas- & Fensterteile	<	seed	0	0	Seed+H4|Hülle<-Seed+H4
v10347	Heckklappe / Heckdeckel	baugruppe	e33656	Kofferraum- & Heckklappen	<	seed	0	0	Seed+H3
v10348	Heckscheibe	baugruppe	e6781	Weitere Autoglas- & Fensterteile	<	seed	0	0	Seed+H4
v10349	Hecktür	baugruppe	e179850	Türen & Türenbleche	<	seed	0	0	Seed+H3
v10350	Kotflügel mit Blinker mit Antennenloch	baugruppe	e33644	Kotflügel Vorn	>	seed	0	0	Seed+H6
v10350_65	Kotflügel mit Blinker mit Antennenloch, hinten links	position	e262166	Seitenwände & Kotflügel Hinten	<	seed	0	0	Seed+H5
v10350_66	Kotflügel mit Blinker mit Antennenloch, hinten rechts	position	e262166	Seitenwände & Kotflügel Hinten	<	seed	0	0	Seed+H5
v10351	Motorhaube	baugruppe	e33646	Motorhauben	=	seed	0	0	Seed
v10352	Schiebetür	baugruppe	e262149	Schiebetüren	<	seed	0	0	Seed+H3
v10353	Seitenscheibe	baugruppe	e6781	Weitere Autoglas- & Fensterteile	<	seed	0	0	Seed+H4
v10354	Seitenscheibe Schiebetür	baugruppe	e6781	Weitere Autoglas- & Fensterteile	<	seed	0	0	Seed+H4
v10355	Tür	baugruppe	e179850	Türen & Türenbleche	<	seed	0	0	Seed+H3
v10356	Türscheibe	baugruppe	e33684	Autoglas	<	seed	0	0	Seed+ADJ
v10357	Vorbau ohne Stirnwand	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10358	Abdeckung Abschlepphaken	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10359	Abdeckung Außenspiegel	baugruppe	e262162	Spiegelkomponenten	<	seed	0	0	Seed+H3
v10360	Abschleppöse	baugruppe	e38790	Sonstige	<	seed	0	0	Seed+H4
v10361	Anhängerkupplung mit E-Satz abnehmbar	baugruppe	e33653	Anhängerkupplungen & Komplettsätze	<	seed	0	0	Seed+H3
v10362	Außenspiegel elektrisch lackiert	baugruppe	e262161	Außenspiegel	<	seed	0	0	Seed+H7|Hülle<-Seed
v10363	Außenspiegelgehäuse	baugruppe	e262162	Spiegelkomponenten	<	seed	0	0	Seed+H3
v10364	Außenspiegelglas	baugruppe	e262162	Spiegelkomponenten	<	seed	0	0	Seed+H3
v10365	Blende Kotflügel	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10366	Blende Kühlergrill	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10367	Blende Nebelscheinwerfer	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10368	Blende Scheinwerfer	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10369	Blende Stoßstange	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10370	Dachreling	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10371	Dachzierleiste	baugruppe	e33654	Schutz- & Zierleisten	<	seed	0	0	Seed+H3
v10372	Frontschürze	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10373	Frontverkleidung	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10374	Gepäckträger	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10375	Grill Windlauf	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10376	Heckblende	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10377	Heckklappendämpfer	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
v10378	Kotflügelverbreiterung	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10379	Kühlergrill	baugruppe	e33645	Front- & Kühlergrills	<	seed	0	0	Seed+H3
v10380	Kühlergrillrahmen	baugruppe	e33645	Front- & Kühlergrills	<	seed	0	0	Seed+H3
v10381	Radabdeckung	baugruppe	e33744	Radkappen & Stahlfelgenringe	=	seed	0	0	Seed
v10382	Schürze	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10383	Schutzleiste Kotflügel	baugruppe	e33654	Schutz- & Zierleisten	<	seed	0	0	Seed+H3
v10384	Schutzleiste Seitenwand	baugruppe	e33654	Schutz- & Zierleisten	<	seed	0	0	Seed+H3
v10385	Schutzleiste Tür	baugruppe	e33654	Schutz- & Zierleisten	<	seed	0	0	Seed+H3
v10386	Schwellerleisten	baugruppe	e33650	Einstiegsleisten	<	seed	0	0	Seed+H3
v10387	Sonnendach	baugruppe	e262172	Panorama-, Schiebedächer & Teile	<	seed	0	0	Hülle<-Seed+H3|Seed+H7
v10388	Spoiler	baugruppe	e33638	Spoiler & Heckflügel	<	seed	0	0	Seed+H3
v10389	Steinschlagschutz	baugruppe	e33654	Schutz- & Zierleisten	<	seed	0	0	Seed+H3
v10390	Steinschlagschutz Stoßstange	baugruppe	e33654	Schutz- & Zierleisten	<	seed	0	0	Seed+H3
v10391	Stoßstange Grundausführung für Kunststoff SW/Grau mit Nebelscheinwerfer mit Spoiler	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10392	Stoßstangenabdeckung	baugruppe	e262146	Stoßstangeneinlagen & -abdeckungen	<	seed	0	0	Seed+H3
v10393	Stoßstangenbefestigung	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10394	Stoßstangenecke	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10395	Stoßstangenhalter	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10396	Stoßstangenträger	baugruppe	e262152	Rahmenlängsträger & Hilfsträger	=	seed	0	0	Seed
v10397	Türgriff	baugruppe	e179851	Türgriffe	=	seed	0	0	Seed
v10398	Türgummi	baugruppe	e262148	Türdichtungen	<	seed	0	0	Seed+H3
v10399	Türrahmen	baugruppe	e262150	Gasfedern, Verschlüsse, Scharniere & weitere Teile	<	seed	0	0	Seed+H3
v10400	Verkleidung Innenkotflügel	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10401	Verkleidung Scheinwerfer	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10402	Windabweiser Dach	baugruppe	e38659	Wind- & Regenabweiser	<	seed	0	0	Seed+H3
v10403	Windabweiser Fenster	baugruppe	e38659	Wind- & Regenabweiser	<	seed	0	0	Seed+H3
v10404	Windlauf	baugruppe	e38659	Wind- & Regenabweiser	<	seed	0	0	Seed+H3
v10405	Ziergitter	baugruppe	e33654	Schutz- & Zierleisten	<	seed	0	0	Seed+H3
v10406	Zierleiste	baugruppe	e33654	Schutz- & Zierleisten	<	seed	0	0	Seed+H3
v10489	Dichtung für Frontscheibe	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10490	Dichtung für Motorhaube	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10492	Dichtung für Heckscheibe	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10497	Emblem	baugruppe	e33643	Embleme & Ornamente	=	seed	0	0	Seed
v10520	Schneeketten	baugruppe	e180090	Schnee-, Anti-Rutsch-Ketten & Schneesocken	=	seed	0	0	Seed
v10523	Türdichtung	baugruppe	e262148	Türdichtungen	<	seed	0	0	Seed+H3
v10528	Wischerblatt	baugruppe	e179852	Wischerblätter & -gummi	=	seed	0	0	Seed
v10530	Hauptscheinwerfer höhenverstellbar	baugruppe	e33710	Frontscheinwerfer	<	seed	0	0	Seed+H3
v10531	Hauptscheinwerfer nicht höhenverstellbar	baugruppe	e33710	Frontscheinwerfer	<	seed	0	0	Seed+H3
v10532	Hecktür (1-türig) mit Fensterausschnitt	baugruppe	e179850	Türen & Türenbleche	<	seed	0	0	Seed+H3
v10533	Hecktür (1-türig) geschlossen	baugruppe	e179850	Türen & Türenbleche	<	seed	0	0	Seed+H3
v10534	Hecktür (2-türig) mit Fensterausschnitt	baugruppe	e179850	Türen & Türenbleche	<	seed	0	0	Seed+H3
v10535	Hecktür (2-türig) geschlossen	baugruppe	e179850	Türen & Türenbleche	<	seed	0	0	Seed+H3
v10554	Heckklappe mit Fensterausschnitt	baugruppe	e33656	Kofferraum- & Heckklappen	<	seed	0	0	Seed+H3
v10555	Heckklappe geschlossen	baugruppe	e33656	Kofferraum- & Heckklappen	<	seed	0	0	Seed+H3
v10556	Schiebetür mit Fensterausschnitt	baugruppe	e262149	Schiebetüren	<	seed	0	0	Hülle<-Seed+H3|Seed+H7
v10557	Schiebetür geschlossen	baugruppe	e262149	Schiebetüren	<	seed	0	0	Hülle<-Seed+H3|Seed+H7
v10561	Bremsleuchte	baugruppe	e33716	Rück- & Bremsleuchten	<	seed	0	0	Seed+H3
v10562	E-Satz (Anhängerkupplung)	baugruppe	e38789	Elektrosätze	=	seed	0	0	Seed
v10564	Frontscheibe mit grünem Bandfilter	baugruppe	e6781	Weitere Autoglas- & Fensterteile	<	seed	0	0	Seed+H4|Hülle<-Seed+H4
v10565	Frontscheibe mit blauem Bandfilter	baugruppe	e6781	Weitere Autoglas- & Fensterteile	<	seed	0	0	Seed+H4|Hülle<-Seed+H4
v10566	Frontscheibe mit brozenem Bandfilter	baugruppe	e6781	Weitere Autoglas- & Fensterteile	<	seed	0	0	Seed+H4|Hülle<-Seed+H4
v10567	Kotflügel ohne Blinker mit Antennenloch	baugruppe	e33644	Kotflügel Vorn	>	seed	0	0	Seed+H6
v10567_65	Kotflügel ohne Blinker mit Antennenloch, hinten links	position	e262166	Seitenwände & Kotflügel Hinten	<	seed	0	0	Seed+H5
v10567_66	Kotflügel ohne Blinker mit Antennenloch, hinten rechts	position	e262166	Seitenwände & Kotflügel Hinten	<	seed	0	0	Seed+H5
v10568	Kotflügel mit Blinker ohne Antennenloch	baugruppe	e33644	Kotflügel Vorn	>	seed	0	0	Seed+H6
v10568_65	Kotflügel mit Blinker ohne Antennenloch, hinten links	position	e262166	Seitenwände & Kotflügel Hinten	<	seed	0	0	Seed+H5
v10568_66	Kotflügel mit Blinker ohne Antennenloch, hinten rechts	position	e262166	Seitenwände & Kotflügel Hinten	<	seed	0	0	Seed+H5
v10569	Kotflügel ohne Blinker ohne Antennenloch	baugruppe	e33644	Kotflügel Vorn	>	seed	0	0	Seed+H6
v10569_65	Kotflügel ohne Blinker ohne Antennenloch, hinten links	position	e262166	Seitenwände & Kotflügel Hinten	<	seed	0	0	Seed+H5
v10569_66	Kotflügel ohne Blinker ohne Antennenloch, hinten rechts	position	e262166	Seitenwände & Kotflügel Hinten	<	seed	0	0	Seed+H5
v10570	Stoßstange Grundausführung für Kunststoff SW/grau mit Nebelscheinwerfer ohne Spoiler	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10571	Stoßstange Grundausführung für Kunststoff SW/grau ohne Nebelscheinwerfer mit Spoiler	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10572	Stoßstange Grundausführung für Kunststoff SW/grau ohne Nebelscheinwerfer ohne Spoiler	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10573	Stoßstange teilgrundiert mit Nebelscheinwerfer mit Spoiler	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10574	Stoßstange teilgrundiert mit Nebelscheinwerfer ohne Spoiler	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10575	Stoßstange teilgrundiert ohne Nebelscheinwerfer mit Spoiler	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10576	Stoßstange teilgrundiert ohne Nebelscheinwerfer ohne Spoiler	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10577	Stoßstange teillackiert mit Nebelscheinwerfer mit Spoiler	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10578	Stoßstange teillackiert mit Nebelscheinwerfer ohne Spoiler	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10579	Stoßstange teillackiert ohne Nebelscheinwerfer mit Spoiler	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10580	Stoßstange teillackiert ohne Nebelscheinwerfer ohne Spoiler	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10584	Außenspiegel elektrisch teilgrundiert	baugruppe	e262161	Außenspiegel	<	seed	0	0	Seed+H7|Hülle<-Seed
v10585	Außenspiegel elektrisch grundiert	baugruppe	e262161	Außenspiegel	<	seed	0	0	Seed+H7|Hülle<-Seed
v10586	Außenspiegel elektrisch Standard	baugruppe	e262161	Außenspiegel	<	seed	0	0	Seed+H7|Hülle<-Seed
v10593	Anhängerkupplung mit E-Satz nicht abnehmbar	baugruppe	e33653	Anhängerkupplungen & Komplettsätze	<	seed	0	0	Seed+H3
v10594	Anhängerkupplung ohne E-Satz nicht abnehmbar	baugruppe	e33653	Anhängerkupplungen & Komplettsätze	<	seed	0	0	Seed+H3
v10602	Außenspiegel mechanisch lackiert	baugruppe	e262161	Außenspiegel	<	seed	0	0	Seed+H7|Hülle<-Seed
v10603	Außenspiegel mechanisch teilgrundiert	baugruppe	e262161	Außenspiegel	<	seed	0	0	Seed+H7|Hülle<-Seed
v10604	Außenspiegel mechanisch grundiert	baugruppe	e262161	Außenspiegel	<	seed	0	0	Seed+H7|Hülle<-Seed
v10605	Außenspiegel mechanisch Standard	baugruppe	e262161	Außenspiegel	<	seed	0	0	Seed+H7|Hülle<-Seed
v10609	Außenspiegel	baugruppe	e262161	Außenspiegel	=	seed	0	0	Seed
v10610	Kotflügel	baugruppe	e33644	Kotflügel Vorn	>	seed	0	0	Hülle<-Seed+H6|Seed+H6
v10610_65	Kotflügel, hinten links	position	e262166	Seitenwände & Kotflügel Hinten	<	seed	0	0	Seed+H5
v10610_66	Kotflügel, hinten rechts	position	e262166	Seitenwände & Kotflügel Hinten	<	seed	0	0	Seed+H5
v10611	Stoßstange	baugruppe	e33640	Stoßstangen & -verstärker	<	seed	0	0	Seed+H3
v10612	Anhängerkupplung ohne E-Satz abnehmbar	baugruppe	e33653	Anhängerkupplungen & Komplettsätze	<	seed	0	0	Seed+H3
v10622	Wischergestänge	baugruppe	e61941	Wischermotoren & -gestänge	<	seed	0	0	Seed+H3
v10634	Dach geschlossen	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10644	Deckel Verdeckkasten	baugruppe	e262170	Cabrioverdecke & Teile	<	seed	0	0	Seed+H3
v10646	Streuscheibe Hauptscheinwerfer	baugruppe	e33710	Frontscheinwerfer	<	seed	0	0	Seed+H3
v10647	Streuscheibe Fernscheinwerfer	baugruppe	e33710	Frontscheinwerfer	<	seed	0	0	Seed+H3
v10648	Kappe Hauptscheinwerfer	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10649	Streuscheibe Nebelscheinwerfer	baugruppe	e33709	Nebelscheinwerfer	<	seed	0	0	Seed+H3
v10650	Scheinwerfereinsatz Fernscheinwerfer	baugruppe	e33710	Frontscheinwerfer	<	seed	0	0	Seed+H3
v10651	Scheinwerfereinsatz Hauptscheinwerfer	baugruppe	e33710	Frontscheinwerfer	<	seed	0	0	Seed+H3
v10652	Scheinwerfereinsatz Nebelscheinwerfer	baugruppe	e33709	Nebelscheinwerfer	<	seed	0	0	Seed+H3
v10653	Lichtscheibe für Blinkleuchte	baugruppe	e33717	Blinkleuchten	<	seed	0	0	Seed+H3
v10654	Lichtscheibe für Heckleuchte	baugruppe	e33717	Blinkleuchten	<	seed	0	0	Seed+H3
v10655	Glühlampe Blinkleuchte	baugruppe	e174065	Sonstige	<	seed	0	0	Seed+H4
v10656	Glühlampe Hauptscheinwerfer	baugruppe	e174065	Sonstige	<	seed	0	0	Seed+H4
v10657	Glühlampe Kennzeichenleuchte	baugruppe	e174065	Sonstige	<	seed	0	0	Seed+H4
v10658	Glühlampe Nebelschlußleuchte	baugruppe	e174065	Sonstige	<	seed	0	0	Seed+H4
v10659	Einstiegblech	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10660	Frontscheibenrahmen	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10661	Rückfahrleuchte	baugruppe	e174065	Sonstige	<	seed	0	0	Seed+H4
v10662	Begrenzungsleuchte	baugruppe	e33715	Seitenmarkierungsleuchten	<	seed	0	0	Seed+H3
v10663	Wischgummi	baugruppe	e262179	Weitere Scheibenwischerteile	<	seed	0	0	Seed+H4
v10664	Heckwand	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10665	Gehäuse Heckleuchte	baugruppe	e33716	Rück- & Bremsleuchten	<	seed	0	0	Seed+H3
v10666	Verbreiterungssatz Kotflügel	baugruppe	e262168	Weitere Karosseriebleche	<	seed	0	0	Seed+H4
v10667	Lampenträger Blinkleuchte	baugruppe	e262209	Halterungen & Befestigungen	<	seed	0	0	Seed+H3
v10668	Lampenträger Bremsleuchte	baugruppe	e262209	Halterungen & Befestigungen	<	seed	0	0	Seed+H3
v10669	Lampenträger Heckleuchte	baugruppe	e262209	Halterungen & Befestigungen	<	seed	0	0	Seed+H3
v10670	Lampenträger Schlußleuchte	baugruppe	e262209	Halterungen & Befestigungen	<	seed	0	0	Seed+H3
v10671	Stellelement für Leuchtweiteregulierung	baugruppe	e262162	Spiegelkomponenten	<	seed	0	0	Seed+H3
v10672	Stellelement für Außenspiegel	baugruppe	e262162	Spiegelkomponenten	<	seed	0	0	Seed+H3
v10673	Halter Außenspiegel	baugruppe	e262162	Spiegelkomponenten	<	seed	0	0	Seed+H3
v10674	Scheinwerferleiste	baugruppe	e262162	Spiegelkomponenten	<	seed	0	0	Seed+H3
v10675	Seitenwand	baugruppe	e262166	Seitenwände & Kotflügel Hinten	=	seed	0	0	Seed
v10676	Karosserie	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10677	Umrißleuchte	baugruppe	e33715	Seitenmarkierungsleuchten	<	seed	0	0	Seed+H3
v10678	Trittbrett	baugruppe	e33650	Einstiegsleisten	<	seed	0	0	Seed+H3
v10679	Umrüstsatz Scheinwerfer	baugruppe	e33710	Frontscheinwerfer	<	seed	0	0	Seed+H3
v10684	Verkleidung Dachabschluss	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10685	Verkleidung Dachrahmen	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10686	Verkleidung Schweller	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10704	Dichtung für Koffer-/Laderaumklappe	baugruppe	e14769	Sonstige	<	seed	0	0	Seed+H4
v10748	Schutzleiste Schweller	baugruppe	e33654	Schutz- & Zierleisten	<	seed	0	0	Seed+H3
v10749	Motor Heckklappe	baugruppe	e177708	Elektromotoren	<	seed	0	0	Seed+H3
