ID,Bezeichnung,Konflikte,Muster SUB,Muster PART,Muster HG,A: Hauptgruppe,B: Hauptgruppe,A: subClassOf,B: subClassOf,A: partOf,B: partOf,A: Erläuterung,B: Erläuterung,ENTSCHEIDUNG (nur Ausnahmen),Kommentar C
10572,Stoßstange Grundausführung für Kunststoff SW/grau ohne Nebelscheinwerfer ohne Spoiler,SUB,SUB-003,,,3 Karosserie,3 Karosserie,20000 „Stossfänger vorne / hinten“,10611 Stoßstange,— (leer),— (leer),,,,
10573,Stoßstange teilgrundiert mit Nebelscheinwerfer mit Spoiler,SUB,SUB-003,,,3 Karosserie,3 Karosserie,20000 „Stossfänger vorne / hinten“,10611 Stoßstange,— (leer),— (leer),,,,
10574,Stoßstange teilgrundiert mit Nebelscheinwerfer ohne Spoiler,SUB,SUB-003,,,3 Karosserie,3 Karosserie,20000 „Stossfänger vorne / hinten“,10611 Stoßstange,— (leer),— (leer),,,,
10575,Stoßstange teilgrundiert ohne Nebelscheinwerfer mit Spoiler,SUB,SUB-003,,,3 Karosserie,3 Karosserie,20000 „Stossfänger vorne / hinten“,10611 Stoßstange,— (leer),— (leer),,,,
10576,Stoßstange teilgrundiert ohne Nebelscheinwerfer ohne Spoiler,SUB,SUB-003,,,3 Karosserie,3 Karosserie,20000 „Stossfänger vorne / hinten“,10611 Stoßstange,— (leer),— (leer),,,,
10577,Stoßstange teillackiert mit Nebelscheinwerfer mit Spoiler,SUB,SUB-003,,,3 Karosserie,3 Karosserie,20000 „Stossfänger vorne / hinten“,10611 Stoßstange,— (leer),— (leer),,,,
10578,Stoßstange teillackiert mit Nebelscheinwerfer ohne Spoiler,SUB,SUB-003,,,3 Karosserie,3 Karosserie,20000 „Stossfänger vorne / hinten“,10611 Stoßstange,— (leer),— (leer),,,,
10579,Stoßstange teillackiert ohne Nebelscheinwerfer mit Spoiler,SUB,SUB-003,,,3 Karosserie,3 Karosserie,20000 „Stossfänger vorne / hinten“,10611 Stoßstange,— (leer),— (leer),,,,
10580,Stoßstange teillackiert ohne Nebelscheinwerfer ohne Spoiler,SUB,SUB-003,,,3 Karosserie,3 Karosserie,20000 „Stossfänger vorne / hinten“,10611 Stoßstange,— (leer),— (leer),,,,
10340,Dach Cabrio,"SUB, PART",SUB-004,PART-001,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,21019 „Dach- & Verdecksysteme“,— (leer),HG3 Karosserie,,abnehmbares/klappbares Dach (Hardtop/Verdeck),,
10342,Dach Targa,"SUB, PART",SUB-004,PART-001,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,21019 „Dach- & Verdecksysteme“,— (leer),HG3 Karosserie,,,,
10634,Dach geschlossen,"SUB, PART",SUB-004,PART-002,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,21019 „Dach- & Verdecksysteme“,— (leer),10676 Karosserie,,"festes Dachblech, Teil des Rohbaus",,
10341,Dach mit Sonnendachausschnitt,"SUB, PART",SUB-004,PART-002,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,21019 „Dach- & Verdecksysteme“,— (leer),10676 Karosserie,,"Dachblech mit Ausschnitt, Teil des Rohbaus",,
10644,Deckel Verdeckkasten,"SUB, PART",SUB-004,PART-002,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,21019 „Dach- & Verdecksysteme“,— (leer),10676 Karosserie,,Verdeckkasten karosserieseitig,,
10344,Faltdach,"SUB, PART",SUB-004,PART-001,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,21019 „Dach- & Verdecksysteme“,— (leer),HG3 Karosserie,,,,
11260,Getriebe Schiebedach,"SUB, PART",SUB-004,PART-012,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,21019 „Dach- & Verdecksysteme“,— (leer),10133 Schiebedach,,,,
11880,Panoramadach,"SUB, PART",SUB-004,PART-001,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,21019 „Dach- & Verdecksysteme“,— (leer),HG3 Karosserie,,,,
10133,Schiebedach,"SUB, PART",SUB-004,PART-001,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,21019 „Dach- & Verdecksysteme“,— (leer),HG3 Karosserie,,,,
10134,Schiebedachdeckel,"SUB, PART",SUB-004,PART-012,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,21019 „Dach- & Verdecksysteme“,— (leer),10133 Schiebedach,,,,
12065,Verdeckbezug,"SUB, PART",SUB-004,PART-009,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,21019 „Dach- & Verdecksysteme“,10340 Dach Cabrio,10344 Faltdach,,,,
11326,Abbiegelicht,"SUB, PART",SUB-005,PART-051,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21002 „Scheinwerfer & Frontleuchten“,10206 Hauptfernscheinwerfer,HG3 Karosserie,"Parent part auch 10210,10530, 10531",,,
10207,Fernscheinwerfer,"SUB, PART",SUB-005,PART-001,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21002 „Scheinwerfer & Frontleuchten“,— (leer),HG3 Karosserie,,,,
10206,Hauptfernscheinwerfer,"SUB, PART",SUB-005,PART-001,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21002 „Scheinwerfer & Frontleuchten“,— (leer),HG3 Karosserie,,kombinierter Haupt-/Fernscheinwerfer,,
10210,Hauptscheinwerfer,"SUB, PART",SUB-005,PART-001,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21002 „Scheinwerfer & Frontleuchten“,— (leer),HG3 Karosserie,,,,
10240,Nebelscheinwerfer,"SUB, PART",SUB-005,PART-030,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21002 „Scheinwerfer & Frontleuchten“,11084 Nebelscheinwerfersatz,HG3 Karosserie,,,,
10281,Stand-/Blinkleuchte,"SUB, PART",SUB-005,PART-001,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21002 „Scheinwerfer & Frontleuchten“,— (leer),HG3 Karosserie,,Kombileuchte front,,
10283,Standleuchte,"SUB, PART",SUB-005,PART-001,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21002 „Scheinwerfer & Frontleuchten“,— (leer),HG3 Karosserie,,,,
11315,Tagfahrleuchte,"SUB, PART",SUB-005,PART-049,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21002 „Scheinwerfer & Frontleuchten“,11320 Tagfahrleuchtensatz,HG3 Karosserie,,,,
10679,Umrüstsatz Scheinwerfer,SUB,SUB-005,,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21002 „Scheinwerfer & Frontleuchten“,— (leer),— (leer),,"Umbau-Set, kein Einzelteil",,
10561,Bremsleuchte,"SUB, PART",SUB-006,PART-001,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,"21003 „Heck-, Blink- & Signalleuchten“",— (leer),HG3 Karosserie,,,,
10223,Kennzeichenleuchte,"SUB, PART",SUB-006,PART-001,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,"21003 „Heck-, Blink- & Signalleuchten“",— (leer),HG3 Karosserie,,,,
10241,Nebelschlussleuchte,"SUB, PART",SUB-006,PART-001,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,"21003 „Heck-, Blink- & Signalleuchten“",— (leer),HG3 Karosserie,,,,
10661,Rückfahrleuchte,"SUB, PART",SUB-006,PART-001,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,"21003 „Heck-, Blink- & Signalleuchten“",— (leer),HG3 Karosserie,,,,
10260,Rückleuchte,"SUB, PART",SUB-006,PART-001,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,"21003 „Heck-, Blink- & Signalleuchten“",— (leer),HG3 Karosserie,,,,
10262,Rückleuchtenband,"SUB, PART",SUB-006,PART-001,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,"21003 „Heck-, Blink- & Signalleuchten“",— (leer),HG3 Karosserie,,durchgehendes Heckleuchtenband,,
11302,Rückstrahler,"SUB, PART",SUB-006,PART-001,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,"21003 „Heck-, Blink- & Signalleuchten“",— (leer),HG3 Karosserie,,passiver Reflektor,,
11223,Zusatzbremsleuchte,"SUB, PART",SUB-006,PART-001,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,"21003 „Heck-, Blink- & Signalleuchten“",— (leer),HG3 Karosserie,,,,
10586,Außenspiegel elektrisch Standard,SUB,SUB-007,,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,10609 Außenspiegel,— (leer),— (leer),,,,
10585,Außenspiegel elektrisch grundiert,SUB,SUB-007,,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,10609 Außenspiegel,— (leer),— (leer),,,,
10362,Außenspiegel elektrisch lackiert,"SUB, PART",SUB-007,PART-032,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,10609 Außenspiegel,10609 Außenspiegel,— (leer),,,,
10584,Außenspiegel elektrisch teilgrundiert,SUB,SUB-007,,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,10609 Außenspiegel,— (leer),— (leer),,,,
10605,Außenspiegel mechanisch Standard,SUB,SUB-007,,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,10609 Außenspiegel,— (leer),— (leer),,,,
10604,Außenspiegel mechanisch grundiert,SUB,SUB-007,,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,10609 Außenspiegel,— (leer),— (leer),,,,
10602,Außenspiegel mechanisch lackiert,SUB,SUB-007,,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,10609 Außenspiegel,— (leer),— (leer),,,,
10603,Außenspiegel mechanisch teilgrundiert,SUB,SUB-007,,,3 Karosserie,3 Karosserie,20005 „Karosserie Mitte aussen“,10609 Außenspiegel,— (leer),— (leer),,,,
10365,Blende Kotflügel,SUB,SUB-008,,,3 Karosserie,3 Karosserie,20001 „Karosserie vorne Aussen“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“",10610 Kotflügel,10610 Kotflügel,"Parent Part no ist auch 10350, 10567-10569",,,
10366,Blende Kühlergrill,SUB,SUB-008,,,3 Karosserie,3 Karosserie,20001 „Karosserie vorne Aussen“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“",10379 Kühlergrill,10379 Kühlergrill,,,,
10378,Kotflügelverbreiterung,SUB,SUB-008,,,3 Karosserie,3 Karosserie,20001 „Karosserie vorne Aussen“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“",10610 Kotflügel,10610 Kotflügel,"Parent Part no ist auch 10350, 10567-10569",,,
10383,Schutzleiste Kotflügel,SUB,SUB-008,,,3 Karosserie,3 Karosserie,20001 „Karosserie vorne Aussen“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“",10610 Kotflügel,10610 Kotflügel,"Parent Part no ist auch 10350, 10567-10569",,,
10666,Verbreiterungssatz Kotflügel,"SUB, PART",SUB-008,PART-013,,3 Karosserie,3 Karosserie,20001 „Karosserie vorne Aussen“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“",— (leer),10610 Kotflügel,,Satz Kotflügelverbreiterungen,,
10801,Zier-/Schutzleiste für Frontverkleidung,"SUB, PART",SUB-008,PART-043,,3 Karosserie,3 Karosserie,20001 „Karosserie vorne Aussen“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“",— (leer),10373 Frontverkleidung,,,,
11313,Zier-/Schutzleistensatz für Kühlergitter,"SUB, PART",SUB-008,PART-015,,3 Karosserie,3 Karosserie,20001 „Karosserie vorne Aussen“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“",— (leer),10379 Kühlergrill,,Satz,,
10405,Ziergitter,"SUB, PART",SUB-008,PART-001,,3 Karosserie,3 Karosserie,20001 „Karosserie vorne Aussen“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“",— (leer),HG3 Karosserie,,,,
10656,Glühlampe Hauptscheinwerfer,"SUB, PART",SUB-009,PART-004,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21001 „Leuchtmittel (Glühlampen & Brenner)“,10206 Hauptfernscheinwerfer,10210 Hauptscheinwerfer,"Parent part auch 10210,10530, 10531",,,
11770,Glühlampe Xenon,"SUB, PART",SUB-009,PART-006,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21001 „Leuchtmittel (Glühlampen & Brenner)“,— (leer),10210 Hauptscheinwerfer,,Xenon-Brenner im Hauptscheinwerfer,,
11485,Glühlampe für Fernscheinwerfer,SUB,SUB-009,,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21001 „Leuchtmittel (Glühlampen & Brenner)“,10207 Fernscheinwerfer,10207 Fernscheinwerfer,,,,
11053,Glühlampe für Hauptlichtschalter,"SUB, PART",SUB-009,PART-023,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21001 „Leuchtmittel (Glühlampen & Brenner)“,10206 Hauptfernscheinwerfer,— (leer),"Parent part auch 10210,10530, 10531",Schalterbeleuchtung (eigentlich Innenraum); systematisch bei Leuchtmitteln belassen,,
11058,Glühlampe für Nebelscheinwerfer,SUB,SUB-009,,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21001 „Leuchtmittel (Glühlampen & Brenner)“,10240 Nebelscheinwerfer,10240 Nebelscheinwerfer,,,,
11059,Glühlampe für Park-/Positionsleuchte,"SUB, PART",SUB-009,PART-046,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21001 „Leuchtmittel (Glühlampen & Brenner)“,— (leer),10247 Parkleuchte,,Parkleuchte als nächstliegende Baugruppe,,
11487,Glühlampe für Positions-/Begrenzungsleuchte,"SUB, PART",SUB-009,PART-058,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21001 „Leuchtmittel (Glühlampen & Brenner)“,— (leer),10662 Begrenzungsleuchte,,,,
11489,Glühlampe für Tagfahrleuchte,SUB,SUB-009,,,3 Karosserie,3 Karosserie,20003 „Beleuchtung / Elektrik vorne“,21001 „Leuchtmittel (Glühlampen & Brenner)“,11315 Tagfahrleuchte,11315 Tagfahrleuchte,,,,
10657,Glühlampe Kennzeichenleuchte,SUB,SUB-010,,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21001 „Leuchtmittel (Glühlampen & Brenner)“,10223 Kennzeichenleuchte,10223 Kennzeichenleuchte,,,,
10658,Glühlampe Nebelschlußleuchte,SUB,SUB-010,,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21001 „Leuchtmittel (Glühlampen & Brenner)“,10241 Nebelschlussleuchte,10241 Nebelschlussleuchte,,,,
11052,Glühlampe für Brems-/Schlusslicht,"SUB, PART",SUB-010,PART-045,,3 Karosserie,3 Karosserie,20013 „Beleuchtung / Elektrik hinten“,21001 „Leuchtmittel (Glühlampen & Brenner)“,10561 Bremsleuchte,10260 Rückleuchte,,Zweifadenlampe der Kombileuchte,,
