Muster-ID,Typ,Anzahl Zeilen,A: Wert,B: Wert,Beispiele,ENTSCHEIDUNG,Kommentar C
SUB-011,SUB,7,20009 „Türen“,21008 „Anbau- & Mechanikteile für Türen und Klappen“,"Rollenführung für Schiebetür, Türbremse, Türfeststeller …",A,
SUB-012,SUB,7,30000 „Fahrwerk/ Lenkung“,21024 „Räder & Bereifung“,"Felge Alu, Felge Stahl, Kompletträder …",B,
SUB-013,SUB,6,20002 „Karosserie vorne Innen“,21009 „Schließsystem & Fahrzeugzugang“,"Fanghaken Klappe, Klappenschlosszug, Motorhaubenzug …",A,
SUB-014,SUB,6,20011 „Karosserie hinten aussen“,21022 „Anhängevorrichtung & Zubehör“,"Anhängebock für Anhängevorrichtung, Anhängerkupplung, Anschraubplatte für Anhängevorrichtung …",B,
SUB-015,SUB,6,— (leer),21004 „Leuchten-Anbau- & Ersatzkomponenten“,"Blinkergehäuse, Lampenträger Blinkleuchte, Lichtscheibe für Blinkleuchte …",B,
SUB-016,SUB,6,20011 „Karosserie hinten aussen“,21026 „Nutzfahrzeug-Aufbauten & Anbaugeräte“,"Elektro-Seilwinde, Heckleiter, Hydro-Seilwinde komplett …",B,
SUB-017,SUB,5,20005 „Karosserie Mitte aussen“,21027 „Außenverkleidungen & Abdeckungen“,"Abdeckung Außenspiegel, Schwellerverkleidung, Verkleidung Dachabschluss …",B,
SUB-018,SUB,5,20000 „Stossfänger vorne / hinten“,21012 „Stoßfängersystem“,"Stoßstange, Stoßstangenabdeckung, Stoßstangenecke …",A,
SUB-019,SUB,5,20000 „Stossfänger vorne / hinten“,21025 „Karosserie-Befestigungs- & Kleinteile“,"Clip für Stoßfänger, Haltersatz für Stoßfänger, Montagesatz für Stoßfänger …",B,
SUB-020,SUB,4,20014 „Hecktür/ Klappe/ Kofferdeckel“,21008 „Anbau- & Mechanikteile für Türen und Klappen“,"Dämpfer Hecktür, Heckklappendämpfer, Heckklappengriff …",A,
SUB-021,SUB,4,20002 „Karosserie vorne Innen“,21008 „Anbau- & Mechanikteile für Türen und Klappen“,"Gasfeder für Motorhaube, Klappenscharnier, Klappenstützen …",B,
SUB-022,SUB,4,20014 „Hecktür/ Klappe/ Kofferdeckel“,21009 „Schließsystem & Fahrzeugzugang“,"Schloss Heckdeckel, Schloss Hecktür, Schloss Hecktür …",A,
SUB-023,SUB,4,20001 „Karosserie vorne Aussen“,11233 Frontscheibe,"Frontscheibe mit blauem Bandfilter, Frontscheibe mit brozenem Bandfilter, Frontscheibe mit grünem Bandfilter …",B,
SUB-024,SUB,4,20001 „Karosserie vorne Aussen“,10610 Kotflügel,"Kotflügel mit Blinker mit Antennenloch, Kotflügel mit Blinker ohne Antennenloch, Kotflügel ohne Blinker mit Antennenloch …",B,
SUB-025,SUB,4,20011 „Karosserie hinten aussen“,11234 Anhängerkupplung,"Anhängerkupplung mit E-Satz abnehmbar, Anhängerkupplung mit E-Satz nicht abnehmbar, Anhängerkupplung ohne E-Satz abnehmbar …",A,
SUB-026,SUB,4,20005 „Karosserie Mitte aussen“,21006 „Außenspiegel & Spiegelkomponenten“,"Außenspiegel, Außenspiegelblende, Außenspiegelgehäuse …",B,
SUB-027,SUB,4,20005 „Karosserie Mitte aussen“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“","Blende Seitenblinker, Dachzierleiste, Schutzleiste Schweller …",B,
SUB-028,SUB,4,20000 „Stossfänger vorne / hinten“,"21017 „Kühlergrill, Gitter & Luftführungen“","Grill Windlauf, Kühlergrill, Kühlergrillrahmen …",B,
SUB-029,SUB,4,20014 „Hecktür/ Klappe/ Kofferdeckel“,10349 Hecktür,"Hecktür (1-türig) geschlossen, Hecktür (1-türig) mit Fensterausschnitt, Hecktür (2-türig) geschlossen …",A,
SUB-030,SUB,3,20011 „Karosserie hinten aussen“,21009 „Schließsystem & Fahrzeugzugang“,"Heckscheibenöffner, Tankdeckelschloss, Tankverschluss",B,
SUB-031,SUB,3,20009 „Türen“,21009 „Schließsystem & Fahrzeugzugang“,"Tür-Zuzieh-Hilfe, Türschloss, Türschlüssel",B,
SUB-032,SUB,3,20009 „Türen“,21010 „Fensterheber & Scheibenbetätigung“,"Fensterheber, Gleitbacke für Fensterheber, Motor Fensterheber",B,
SUB-033,SUB,3,20011 „Karosserie hinten aussen“,21013 „Karosserie-Blech- & Außenhautteile“,"Abschlussblech, Heckwand, Seitenwand",B,
SUB-034,SUB,3,20011 „Karosserie hinten aussen“,21005 „Fahrzeugverglasung“,"Ausstellscheibe, Heckscheibe, Seitenscheibe",B,
SUB-035,SUB,3,20002 „Karosserie vorne Innen“,21013 „Karosserie-Blech- & Außenhautteile“,"Frontblech, Spritzwand, Vorbau ohne Stirnwand",A,
SUB-036,SUB,3,20003 „Beleuchtung / Elektrik vorne“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“","Blende Nebelscheinwerfer, Blende Scheinwerfer, Scheinwerferleiste",A,
SUB-037,SUB,3,20000 „Stossfänger vorne / hinten“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“","Blende Stoßstange, Steinschlagschutz Stoßstange, Zier-/Schutzleistensatz für Stoßfänger",A,
SUB-038,SUB,3,20001 „Karosserie vorne Aussen“,21027 „Außenverkleidungen & Abdeckungen“,"Abdeckung Frontschürze, Frontverkleidung, Verkleidung Innenkotflügel",A,
SUB-039,SUB,3,20005 „Karosserie Mitte aussen“,10133 Schiebedach,"Schiebedach Glas, Schiebedach Metall, Sonnendach",B,
SUB-040,SUB,3,20009 „Türen“,21021 „Karosseriedichtungen“,"Dichtung für Türscheibe, Türdichtung, Türgummi",B,
SUB-041,SUB,3,20001 „Karosserie vorne Aussen“,21013 „Karosserie-Blech- & Außenhautteile“,"Frontscheibenrahmen, Kotflügel, Windlauf",A,
SUB-042,SUB,3,20011 „Karosserie hinten aussen“,21021 „Karosseriedichtungen“,"Dichtung für Heckscheibe, Dichtung für Heckscheibe, Dichtung für Seitenscheibe",B,
SUB-043,SUB,3,20011 „Karosserie hinten aussen“,21020 „Träger- & Transportsysteme“,"Ersatzradhalter, Fahrradträger Heck, Gasfeder für Reserveradhalter",B,
SUB-044,SUB,3,20002 „Karosserie vorne Innen“,21025 „Karosserie-Befestigungs- & Kleinteile“,"Halter für Kühlergitter, Puffer für Motorhaube, Stütze Kühlergitter",B,
SUB-045,SUB,3,20005 „Karosserie Mitte aussen“,21008 „Anbau- & Mechanikteile für Türen und Klappen“,"Gasfeder für Verdeck, Tankklappenscharnier, Verdeckgriff",B,
SUB-046,SUB,3,20012 „Karosserie hinten innen“,21013 „Karosserie-Blech- & Außenhautteile“,"Karosserieboden Koffer-/Laderaum, Koffer-/Laderaumwanne, Reserveradwanne",B,
SUB-047,SUB,3,20000 „Stossfänger vorne / hinten“,21022 „Anhängevorrichtung & Zubehör“,"Stoßfängerabdeckung für Anhängevorrichtung, Stoßstangenabdeckung für Anhängevorrichtung, Stoßstangenhalter für Anhängevorrichtung",A,
SUB-048,SUB,3,20005 „Karosserie Mitte aussen“,21026 „Nutzfahrzeug-Aufbauten & Anbaugeräte“,"Dachklimaanlage, Hardtop Ladefläche, Persening",B,
SUB-049,SUB,3,20009 „Türen“,21027 „Außenverkleidungen & Abdeckungen“,"Abdeckkappe Türgriff, Abdeckung Griffmulde, Abdeckung Schiebetürschienen",A,
SUB-050,SUB,3,20031 „Bremsanlage“,— (leer),"Druckschalter für Bremshydraulik, Schalter für Bremsbetätigung, Schalter für Handbremskontrollleuchte",A,
SUB-051,SUB,2,20002 „Karosserie vorne Innen“,21014 „Karosserie-Strukturteile & Verstärkungen“,"Kotflügelträger, Querträger",A,
SUB-052,SUB,2,20014 „Hecktür/ Klappe/ Kofferdeckel“,10137 Schließzylinder,"Schließzylinder Heckdeckel, Schließzylinder Hecktür",A,
SUB-053,SUB,2,20008 „Beleuchtung / Elektrik Mitte und Türen“,10192 Blinker,"Blinker Außenspiegel, Blinker Dach",B,
SUB-054,SUB,2,20008 „Beleuchtung / Elektrik Mitte und Türen“,21028 „Karosserie-Elektrik & Sensorik außen“,"Anschlussleitung für Außenspiegel, Kabel Tür",A,
SUB-055,SUB,2,20008 „Beleuchtung / Elektrik Mitte und Türen“,21019 „Dach- & Verdecksysteme“,"Motor Schiebedach, Motor Verdeck",B,
SUB-056,SUB,2,20014 „Hecktür/ Klappe/ Kofferdeckel“,21007 „Türen & Klappen“,"Heckklappe / Heckdeckel, Hecktür",A,
SUB-057,SUB,2,20009 „Türen“,21007 „Türen & Klappen“,"Schiebetür, Tür",A,
SUB-058,SUB,2,20005 „Karosserie Mitte aussen“,21020 „Träger- & Transportsysteme“,"Dachreling, Fahrradträger Dach",B,
SUB-059,SUB,2,20001 „Karosserie vorne Aussen“,21012 „Stoßfängersystem“,"Frontschürze, Schürze",A,
SUB-060,SUB,2,20011 „Karosserie hinten aussen“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“","Heckblende, Schutzleiste Seitenwand",A,
SUB-061,SUB,2,20009 „Türen“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“","Schutzleiste Tür, Zier-/Schutzleiste für Türscheibe",A,
SUB-062,SUB,2,20009 „Türen“,21013 „Karosserie-Blech- & Außenhautteile“,"Türblatt, Türrahmen",A,
SUB-063,SUB,2,20001 „Karosserie vorne Aussen“,21021 „Karosseriedichtungen“,"Dichtung für Frontscheibe, Dichtung für Kotflügel",B,
SUB-064,SUB,2,20003 „Beleuchtung / Elektrik vorne“,10210 Hauptscheinwerfer,"Hauptscheinwerfer höhenverstellbar, Hauptscheinwerfer nicht höhenverstellbar",A,
SUB-065,SUB,2,20014 „Hecktür/ Klappe/ Kofferdeckel“,10347 Heckklappe / Heckdeckel,"Heckklappe geschlossen, Heckklappe mit Fensterausschnitt",A,
SUB-066,SUB,2,20009 „Türen“,10352 Schiebetür,"Schiebetür geschlossen, Schiebetür mit Fensterausschnitt",B,
SUB-067,SUB,2,20012 „Karosserie hinten innen“,21021 „Karosseriedichtungen“,"Dichtung für Koffer-/Laderaumklappe, Dichtung für Kraftstoffeinfüllstutzen",B,
SUB-068,SUB,2,20013 „Beleuchtung / Elektrik hinten“,21008 „Anbau- & Mechanikteile für Türen und Klappen“,"Elektrisches Heckklappenset, Motor Heckklappe",B,
SUB-069,SUB,2,20001 „Karosserie vorne Aussen“,21018 „Aerodynamik-Anbauteile“,"Lufthutze Deckel, Spoiler für Kühlergitter",B,
SUB-070,SUB,2,20013 „Beleuchtung / Elektrik hinten“,10260 Rückleuchte,"Heckleuchtensatz, Rückleuchte in Stoßstange",A,
SUB-071,SUB,2,20011 „Karosserie hinten aussen“,21008 „Anbau- & Mechanikteile für Türen und Klappen“,"Gasfeder für Heckscheibe, Stellmotor Tankklappe",B,
SUB-072,SUB,2,20005 „Karosserie Mitte aussen“,21014 „Karosserie-Strukturteile & Verstärkungen“,"Dachsäule, Scharniersäule",B,
SUB-073,SUB,2,20005 „Karosserie Mitte aussen“,21015 „Schutzbügel & Trittstufen“,"Schwellerrohre, Überrollbügel",B,
SUB-074,SUB,2,20005 „Karosserie Mitte aussen“,21021 „Karosseriedichtungen“,"Dichtung für Faltdach, Dichtung für Schiebedach",B,
SUB-075,SUB,2,20003 „Beleuchtung / Elektrik vorne“,21021 „Karosseriedichtungen“,"Dichtung für Hauptscheinwerfer, Dichtung für Rahmen Hauptscheinwerfer",A,
SUB-076,SUB,2,20013 „Beleuchtung / Elektrik hinten“,21021 „Karosseriedichtungen“,"Dichtung für Kennzeichenleuchte, Dichtung für Schlussleuchte",A,
SUB-077,SUB,2,20003 „Beleuchtung / Elektrik vorne“,21011 „Wisch- & Waschanlage“,"Hubzylinder für Scheinwerferreinigungsanlage, Spritzdüse für Scheinwerferreinigungsanlage",B,
SUB-078,SUB,2,20002 „Karosserie vorne Innen“,21028 „Karosserie-Elektrik & Sensorik außen“,"Aktor Fussgängerschutz, Aktuator Motorhaube",B,
SUB-079,SUB,1,20005 „Karosserie Mitte aussen“,21023 „Antennen & Empfangstechnik“,Antenne Dach,B,
SUB-080,SUB,1,20000 „Stossfänger vorne / hinten“,21014 „Karosserie-Strukturteile & Verstärkungen“,Aufprallträger,A,
SUB-081,SUB,1,20002 „Karosserie vorne Innen“,21012 „Stoßfängersystem“,Pralldämpfer,B,
SUB-082,SUB,1,20001 „Karosserie vorne Aussen“,21011 „Wisch- & Waschanlage“,Scheibenwaschdüse,Beide,
SUB-083,SUB,1,20009 „Türen“,10137 Schließzylinder,Schließzylinder Schiebetür,A,
SUB-084,SUB,1,20014 „Hecktür/ Klappe/ Kofferdeckel“,21011 „Wisch- & Waschanlage“,Stütze Heckwischer,A,
SUB-085,SUB,1,20011 „Karosserie hinten aussen“,21007 „Türen & Klappen“,Tankklappe,B,
SUB-086,SUB,1,20012 „Karosserie hinten innen“,21009 „Schließsystem & Fahrzeugzugang“,Tankklappenzug,B,
SUB-087,SUB,1,20003 „Beleuchtung / Elektrik vorne“,10192 Blinker,Blinker Kotflügel,A,
SUB-088,SUB,1,20001 „Karosserie vorne Aussen“,21007 „Türen & Klappen“,Motorhaube,A,
SUB-089,SUB,1,20009 „Türen“,10353 Seitenscheibe,Seitenscheibe Schiebetür,A,
SUB-090,SUB,1,20009 „Türen“,21005 „Fahrzeugverglasung“,Türscheibe,B,
SUB-091,SUB,1,30000 „Fahrwerk/ Lenkung“,21027 „Außenverkleidungen & Abdeckungen“,Radabdeckung,B,
SUB-092,SUB,1,20003 „Beleuchtung / Elektrik vorne“,21027 „Außenverkleidungen & Abdeckungen“,Verkleidung Scheinwerfer,A,
SUB-093,SUB,1,20005 „Karosserie Mitte aussen“,21018 „Aerodynamik-Anbauteile“,Windabweiser Dach,B,
SUB-094,SUB,1,20009 „Türen“,21018 „Aerodynamik-Anbauteile“,Windabweiser Fenster,B,
SUB-095,SUB,1,20002 „Karosserie vorne Innen“,21021 „Karosseriedichtungen“,Dichtung für Motorhaube,B,
SUB-096,SUB,1,30000 „Fahrwerk/ Lenkung“,10625 Felge Alu,Alufelgen Satz,B,
SUB-097,SUB,1,30000 „Fahrwerk/ Lenkung“,10498 Felge Stahl,Stahlfelgen Satz,B,
SUB-098,SUB,1,— (leer),21001 „Leuchtmittel (Glühlampen & Brenner)“,Glühlampe Blinkleuchte,B,
SUB-099,SUB,1,20005 „Karosserie Mitte aussen“,21013 „Karosserie-Blech- & Außenhautteile“,Einstiegblech,B,
SUB-100,SUB,1,— (leer),21011 „Wisch- & Waschanlage“,Wischgummi,B,
SUB-101,SUB,1,20008 „Beleuchtung / Elektrik Mitte und Türen“,21006 „Außenspiegel & Spiegelkomponenten“,Stellelement für Außenspiegel,B,
SUB-102,SUB,1,20005 „Karosserie Mitte aussen“,21025 „Karosserie-Befestigungs- & Kleinteile“,Halter Außenspiegel,B,
SUB-103,SUB,1,20013 „Beleuchtung / Elektrik hinten“,21000 „Beleuchtung außen“,Kofferraumleuchte,A,
SUB-104,SUB,1,20003 „Beleuchtung / Elektrik vorne“,10240 Nebelscheinwerfer,Nebelscheinwerfersatz,B,
SUB-105,SUB,1,20001 „Karosserie vorne Aussen“,21029 „Karosserie-Teilepakete“,Teilepaket Front,B,
SUB-106,SUB,1,20011 „Karosserie hinten aussen“,21029 „Karosserie-Teilepakete“,Teilepaket Heck,B,
SUB-107,SUB,1,20014 „Hecktür/ Klappe/ Kofferdeckel“,21013 „Karosserie-Blech- & Außenhautteile“,Heckscheibenrahmen,A,
SUB-108,SUB,1,20001 „Karosserie vorne Aussen“,21005 „Fahrzeugverglasung“,Frontscheibe,B,
SUB-109,SUB,1,20011 „Karosserie hinten aussen“,21027 „Außenverkleidungen & Abdeckungen“,Unterfahrschutz,B,
SUB-110,SUB,1,20001 „Karosserie vorne Aussen“,21015 „Schutzbügel & Trittstufen“,Frontschutzbügel,B,
SUB-111,SUB,1,20006 „Karosserie Mitte innen“,21013 „Karosserie-Blech- & Außenhautteile“,Karosserieboden,B,
SUB-112,SUB,1,20003 „Beleuchtung / Elektrik vorne“,11315 Tagfahrleuchte,Tagfahrleuchtensatz,A,
SUB-113,SUB,1,20014 „Hecktür/ Klappe/ Kofferdeckel“,21021 „Karosseriedichtungen“,Dichtung für Heckklappe,B,
SUB-114,SUB,1,— (leer),21021 „Karosseriedichtungen“,Dichtung für Blinkleuchte,A,
SUB-115,SUB,1,20008 „Beleuchtung / Elektrik Mitte und Türen“,21021 „Karosseriedichtungen“,Dichtung für Türsicherungsleuchte,A,
SUB-116,SUB,1,20012 „Karosserie hinten innen“,— (leer),Einfüllstutzen für Kraftstoffbehälter,,kann vorne (bspw. 911) oder hinten sein
SUB-117,SUB,1,20001 „Karosserie vorne Aussen“,21025 „Karosserie-Befestigungs- & Kleinteile“,Montagesatz für Kotflügel,B,
SUB-118,SUB,1,20008 „Beleuchtung / Elektrik Mitte und Türen“,21009 „Schließsystem & Fahrzeugzugang“,Schalter für Türverriegelung,B,
SUB-119,SUB,1,20008 „Beleuchtung / Elektrik Mitte und Türen“,21008 „Anbau- & Mechanikteile für Türen und Klappen“,Motor Schiebetür,B,
SUB-120,SUB,1,20012 „Karosserie hinten innen“,21020 „Träger- & Transportsysteme“,Reserveradhalter,B,
SUB-121,SUB,1,20006 „Karosserie Mitte innen“,21026 „Nutzfahrzeug-Aufbauten & Anbaugeräte“,Trennwand,B,
SUB-122,SUB,1,20011 „Karosserie hinten aussen“,— (leer),Antrieb Kofferraumabdeckung,B,
SUB-123,SUB,1,20005 „Karosserie Mitte aussen“,11883 Einstiegleiste,Einstiegleistenset,B,
SUB-124,SUB,1,20023 „HV Komponenten“,21028 „Karosserie-Elektrik & Sensorik außen“,HV-Ladeanschluss,A,
SUB-125,SUB,1,20005 „Karosserie Mitte aussen“,21009 „Schließsystem & Fahrzeugzugang“,Verdeckschloss,B,
SUB-126,SUB,1,20014 „Hecktür/ Klappe/ Kofferdeckel“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“",Heckklappenleiste,A,
SUB-127,SUB,1,20013 „Beleuchtung / Elektrik hinten“,21018 „Aerodynamik-Anbauteile“,Motor Heckspoiler,B,
SUB-128,SUB,1,20013 „Beleuchtung / Elektrik hinten“,"21016 „Zier- & Schutzleisten, Blenden, Embleme“",Blende Heckleuchte,A,
SUB-129,SUB,1,20012 „Karosserie hinten innen“,21010 „Fensterheber & Scheibenbetätigung“,Motor Ausstellfenster,B,
SUB-130,SUB,1,20005 „Karosserie Mitte aussen“,21005 „Fahrzeugverglasung“,Dachfenster,B,
PART-001,PART,66,— (leer),HG3 Karosserie,"Anhängerkupplung, Antenne Dach, Außenspiegel …",B,
PART-002,PART,26,— (leer),10676 Karosserie,"Abschlussblech, Aufprallträger, Dach geschlossen …",B,
PART-003,PART,13,10570 Stoßstange Grundausführung für Kunststoff SW/grau mit Nebelscheinwerfer ohne Spoiler,10611 Stoßstange,"Blende Stoßstange, Clip für Stoßfänger, Lüftungsgitter für Stoßfänger …",B,
PART-004,PART,12,10206 Hauptfernscheinwerfer,10210 Hauptscheinwerfer,"Dichtung für Hauptscheinwerfer, Dichtung für Rahmen Hauptscheinwerfer, Glühlampe Hauptscheinwerfer …",Beide,
PART-005,PART,11,— (leer),10351 Motorhaube,"Aktor Fussgängerschutz, Aktuator Motorhaube, Dichtung für Motorhaube …",B,
PART-006,PART,9,— (leer),10210 Hauptscheinwerfer,"Blende Scheinwerfer, Glühlampe Xenon, Kabelsatz für Hauptscheinwerfer …",B,
PART-007,PART,6,11261 Kompletträder,— (leer),"Alufelgen Satz, Felge Stahl, Reifen …",A,
PART-008,PART,5,— (leer),10347 Heckklappe / Heckdeckel,"Dichtung für Heckklappe, Dichtung für Koffer-/Laderaumklappe, Heckklappendämpfer …",B,
PART-009,PART,5,10340 Dach Cabrio,10344 Faltdach,"Gasfeder für Verdeck, Motor Verdeck, Verdeckbezug …",A,
PART-010,PART,5,10859 Heckleuchtensatz,10260 Rückleuchte,"Blende Heckleuchte, Gehäuse Heckleuchte, Halter für Heckleuchte …",B,
PART-011,PART,4,— (leer),11234 Anhängerkupplung,"Anhängebock für Anhängevorrichtung, Anschraubplatte für Anhängevorrichtung, Kugelkopf Anhängerkupplung …",B,
PART-012,PART,4,— (leer),10133 Schiebedach,"Dichtung für Schiebedach, Getriebe Schiebedach, Motor Schiebedach …",B,
PART-013,PART,4,— (leer),10610 Kotflügel,"Dichtung für Kotflügel, Montagesatz für Kotflügel, Verbreiterungssatz Kotflügel …",B,
PART-014,PART,4,— (leer),10348 Heckscheibe,"Dichtung für Heckscheibe, Dichtung für Heckscheibe, Gasfeder für Heckscheibe …",B,
PART-015,PART,4,— (leer),10379 Kühlergrill,"Halter für Kühlergitter, Spoiler für Kühlergitter, Stütze Kühlergitter …",B,
PART-016,PART,3,— (leer),10161 Tankklappe,"Stellmotor Tankklappe, Tankklappenscharnier, Tankklappenzug",B,
PART-017,PART,3,— (leer),10355 Tür,"Abdeckung Griffmulde, Fensterheber, Windabweiser Fenster",B,
PART-018,PART,3,10355 Tür,10397 Türgriff,"Abdeckkappe Türgriff, Türgriffbetätigung, Türgriffrahmen",B,
PART-019,PART,3,— (leer),HG4 Innenraum,"Antrieb Kofferraumabdeckung, Schalter für Bremsbetätigung, Schalter für Handbremskontrollleuchte",B,
PART-020,PART,2,— (leer),11438 Einfüllstutzen für Kraftstoffbehälter,"Dichtung für Kraftstoffeinfüllstutzen, Tankverschluss",B,
PART-021,PART,2,— (leer),10205 Fensterheber,"Gleitbacke für Fensterheber, Motor Fensterheber",B,
PART-022,PART,2,— (leer),10260 Rückleuchte,"Lampenträger Schlußleuchte, Lichtscheibe für Schlussleuchte",B,
PART-023,PART,2,10206 Hauptfernscheinwerfer,— (leer),"Glühlampe für Hauptlichtschalter, Tagfahrleuchtensatz",B,
PART-024,PART,2,— (leer),10611 Stoßstange,"Haltersatz für Stoßfänger, Montagesatz für Stoßfänger",B,
PART-025,PART,2,10355 Tür,10356 Türscheibe,"Dichtung für Türscheibe, Zier-/Schutzleiste für Türscheibe",B,
PART-026,PART,2,— (leer),10352 Schiebetür,"Abdeckung Schiebetürschienen, Rollenführung für Schiebetür",B,
PART-027,PART,1,— (leer),10349 Hecktür,Dämpfer Hecktür,B,
PART-028,PART,1,— (leer),10142 Schloss Heckdeckel,Schließzylinder Heckdeckel,B,
PART-029,PART,1,10349 Hecktür,10143 Schloss Hecktür,Schließzylinder Hecktür,B,
PART-030,PART,1,11084 Nebelscheinwerfersatz,HG3 Karosserie,Nebelscheinwerfer,A,
PART-031,PART,1,10651 Scheinwerfereinsatz Hauptscheinwerfer,10210 Hauptscheinwerfer,Scheinwerferglas,A,
PART-032,PART,1,10609 Außenspiegel,— (leer),Außenspiegel elektrisch lackiert,A,
PART-033,PART,1,— (leer),10404 Windlauf,Grill Windlauf,B,
PART-034,PART,1,— (leer),21024 „Räder & Bereifung“,Radabdeckung,B,
PART-035,PART,1,— (leer),10675 Seitenwand,Schutzleiste Seitenwand,B,
PART-036,PART,1,10352 Schiebetür,10355 Tür,Schutzleiste Tür,B,
PART-037,PART,1,— (leer),11233 Frontscheibe,Dichtung für Frontscheibe,B,
PART-038,PART,1,10593 Anhängerkupplung mit E-Satz nicht abnehmbar,11234 Anhängerkupplung,E-Satz (Anhängerkupplung),B,
PART-039,PART,1,10593 Anhängerkupplung mit E-Satz nicht abnehmbar,— (leer),Anhängerkupplung ohne E-Satz nicht abnehmbar,A,
PART-040,PART,1,10361 Anhängerkupplung mit E-Satz abnehmbar,— (leer),Anhängerkupplung ohne E-Satz abnehmbar,A,
PART-041,PART,1,10623 Alufelgen Satz,— (leer),Felge Alu,A,
PART-042,PART,1,10650 Scheinwerfereinsatz Fernscheinwerfer,10207 Fernscheinwerfer,Streuscheibe Fernscheinwerfer,B,
PART-043,PART,1,— (leer),10373 Frontverkleidung,Zier-/Schutzleiste für Frontverkleidung,B,
PART-044,PART,1,— (leer),10353 Seitenscheibe,Dichtung für Seitenscheibe,B,
PART-045,PART,1,10561 Bremsleuchte,10260 Rückleuchte,Glühlampe für Brems-/Schlusslicht,B,
