ID,Bezeichnung_DE,Synonyme_DE,Hauptgruppe_Original,Schwerpunkt,Hauptgruppe_Final,Hauptgruppe_Begründung,Parent_subClassOf_ID,Parent_partOf_ID,Begründung_optional
10047,Halter für Generator,Generatorhalter; Halter Lichtmaschine; Lichtmaschinenhalter,2 Motorraum,,2 Motorraum,,,,
10048,Halter für Kompressor,,2 Motorraum,,2 Motorraum,,,,
10049,Halter für Nebelscheinwerfer,Nebelscheinwerferhalter,2 Motorraum,,2 Motorraum,,,,
10050,Halter für Ölbehälter,Oelbehaelterhalter; Ölbehälterhalter,2 Motorraum,,2 Motorraum,,,,
10051,Halter für Pralldämpfer,Pralldeampferhalter; Pralldämpferhalter,2 Motorraum,,2 Motorraum,,,,
10052,Halter für Querlenker,Querlenkerhalter,2 Motorraum,,2 Motorraum,,30000,,
10053,Halter für Servopumpe,Halter Pumpe Servolenkung; Servolenkungspumpenhalter,2 Motorraum,,2 Motorraum,,,,
10054,Hardyscheibe,,1 Unterboden,,1 Unterboden,,,,
10055,Hebeschiene,,2 Motorraum,,2 Motorraum,,,,
10056,Heizungsbetätigung (Konsole),,4 Innenraum,,4 Innenraum,,,,
10057,Heizungskühler,Wärmeaustauscher; Heizungs-Wärmetauscher,2 Motorraum,,2 Motorraum,,,,
10058,Hosenrohr,,1 Unterboden,,1 Unterboden,,,,
10059,Innenbetätigung,,4 Innenraum,,4 Innenraum,,,,
10060,Instrumententräger,,4 Innenraum,,4 Innenraum,,,,
10061,Kabel Instrumententräger,,4 Innenraum,,4 Innenraum,,,,
10062,Katalysator mit Lambdasonde,Abgasfilter; Schadstoffreduzierstueck; Schadstoffreduzierstück; Kat,1 Unterboden,,1 Unterboden,,,,
10063,Keilriemen,,2 Motorraum,,2 Motorraum,,,,
10064,Keilriemenscheibe,Umlenkrolle,2 Motorraum,,2 Motorraum,,,,
10065,Kennzeichenverstärkung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10066,Klappenscharnier,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10067,Klappenschlosszug,Betaetigungszug Motorhaube; Klappenschloßzug; Betätigungszug Motorhaube,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10068,Klappenstützen,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10069,Klimaanlage Trocknerflasche,,2 Motorraum,,2 Motorraum,,,,
10070,Klimakompressor,Kompressor Klimaanlage,2 Motorraum,,2 Motorraum,,,,
10071,Klimakondensator,Kondensator Klimaanlage,2 Motorraum,,2 Motorraum,,,11898,
10072,Klimakupplung,Kupplung Klimaanlage,2 Motorraum,,2 Motorraum,,,,
10073,Klimalüfter,Lüfter Klimaanlage,2 Motorraum,,2 Motorraum,,,,
10074,Klimamagnetventil,Magnetventil Klimaanlage,2 Motorraum,,2 Motorraum,,,,
10075,Klimaverdampfer,Verdampfer Klimaanlage,2 Motorraum,,2 Motorraum,,,,
10076,Kolben,,2 Motorraum,,2 Motorraum,,,,
10077,Koppelstange,Verbindungsstange Stabilisator,1 Unterboden,,1 Unterboden,,30000,,
10078,Kraftstoffdämpfer,,2 Motorraum,,2 Motorraum,,,,
10079,Kraftstoffdruckregelung,,2 Motorraum,,2 Motorraum,,,,
10080,Kraftstoffleitung,Ansaugleitung,2 Motorraum,,2 Motorraum,,,,
10081,Kraftstoffmengenteiler,,2 Motorraum,,2 Motorraum,,,,
10082,Kraftstoffpumpe,Pumpe Benzin; Benzinpumpe,2 Motorraum,,2 Motorraum,,,,
10083,Kraftstoffspeicher,,2 Motorraum,,2 Motorraum,,,,
10084,Kühler,Wasserkühler; Motorkühler,2 Motorraum,,2 Motorraum,,,11898,
10085,Kühlerschlauch,,2 Motorraum,,2 Motorraum,,,,
10086,Kühlerträger,,2 Motorraum,,2 Motorraum,,,11898,
10087,Kühlerverschluss,Kühlerdeckel,2 Motorraum,,2 Motorraum,,,,
10088,Kugelkopf Anhängerkupplung,,3 Karosserie,Karosserie (Pflicht),5 Sonstige,Klassisches Zubehörteil,20011,,
10089,Kupplungsnadellager,,2 Motorraum,,2 Motorraum,,,,
10090,Kupplung,,2 Motorraum,,2 Motorraum,,,,
10091,Kupplungsausrücklager,,2 Motorraum,,2 Motorraum,,,,
10092,Kupplungsdruckplatte,,2 Motorraum,,2 Motorraum,,,,
10093,Kupplungsgeberzylinder,,2 Motorraum,,2 Motorraum,,,,
10094,Kupplungsmitnehmerscheibe,,2 Motorraum,,2 Motorraum,,,,
10095,Kupplungsnehmerzylinder,,2 Motorraum,,2 Motorraum,,,,
10096,Kupplungszug,,2 Motorraum,,2 Motorraum,,,,
10097,Ladeluftkühler,Ladeluft-Kühler,2 Motorraum,,2 Motorraum,,,11898,Optional
10098,Längsträger,,1 Unterboden,,1 Unterboden,,,,
10099,Lüftergehäuse,,2 Motorraum,,2 Motorraum,,,,
10100,Lüfterkupplung,Lüfterviskokupplung,2 Motorraum,,2 Motorraum,,,,
10101,Lüfterrad,,2 Motorraum,,2 Motorraum,,,,
10102,Lüfterring,,2 Motorraum,,2 Motorraum,,,,
10103,Luftdämpfer,,2 Motorraum,,2 Motorraum,,,,
10104,Luftdüsengehäuse,,2 Motorraum,,2 Motorraum,,,,
10105,Luftfiltergehäuse,Ansauggeräuschfilter; Adsorbierungsfiltergehäuse,2 Motorraum,,2 Motorraum,,,,
10106,Luftmassenmesser,,2 Motorraum,,2 Motorraum,,,,
10107,Magnetkupplung,,2 Motorraum,,2 Motorraum,,,,
10108,Motorbock,Motorhalterung,2 Motorraum,,2 Motorraum,,,,
10109,Motorhaubenscharnier,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10110,Motorhaubenzug,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10111,Motorträger,,1 Unterboden,,1 Unterboden,,,,
10112,Netztrennwand,,4 Innenraum,,4 Innenraum,,,,
10113,Nockenwelle,,2 Motorraum,,2 Motorraum,,,,
10114,Nockenwellenversteller,Zylinder Höhenverstellung; Vanos,2 Motorraum,,2 Motorraum,,,,
10115,Ölfilter,,2 Motorraum,,2 Motorraum,,,,
10116,Ölfilterträger,Ölfilterhalter,2 Motorraum,,2 Motorraum,,,,
10117,Ölkühler,,2 Motorraum,,2 Motorraum,,,11898,Optional
10118,Ölmessstab,Peilstab,2 Motorraum,,2 Motorraum,,,,
10119,Ölpumpe,,2 Motorraum,,2 Motorraum,,,,
10120,Ölwanne,,1 Unterboden,,1 Unterboden,,,,
10121,OT-Geber,OT-Sensor,2 Motorraum,,2 Motorraum,,,,
10122,Pedalwerk,,4 Innenraum,,4 Innenraum,,,,
10123,Pleuel,,2 Motorraum,,2 Motorraum,,,,
10124,Pralldämpfer,Aufpralldämpfer,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10125,Querträger,Querträger vorn geschraubt,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10126,Riemenscheibe für Pumpe,,2 Motorraum,,2 Motorraum,,,,
10127,Riemenspanner,,2 Motorraum,,2 Motorraum,,,,
10128,Rollenraste,,2 Motorraum,,2 Motorraum,,,,
10129,Schaltgestänge,,2 Motorraum,,2 Motorraum,,,,
10130,Schalthebel,Schaltknauf,4 Innenraum,,4 Innenraum,,,,
10131,Scheibenwaschdüse,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10132,Scheinwerfertragrahmen,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10133,Schiebedach,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10134,Schiebedachdeckel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10135,Schließbolzen,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10136,Schließplatte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10137,Schließzylinder,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10138,Schließzylinder Heckdeckel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10139,Schließzylinder Hecktür,Drucktaste mit Schließzylinder,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,10349,Parent part auch 10532-10535
10140,Schließzylinder Satz,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10141,Schließzylinder Schiebetür,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10352,"Parent part auch 10556,10557"
10142,Schloss Heckdeckel,Schloss Heckklappe,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10143,Schloss Hecktür,Klappenschloss; Kofferraumverschluss,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,10349,Parent part auch 10532-10535
10144,Schloss Motorhaube,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10145,Schlosszapfen,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10146,Schubstrebe,,2 Motorraum,,2 Motorraum,,,,
10147,Schwerkraftventil,,2 Motorraum,,2 Motorraum,,,,
10148,Schwingungsdämpfer Motor,,2 Motorraum,,2 Motorraum,,,,
10149,Servopumpe,Pumpe Servolenkung,2 Motorraum,,2 Motorraum,,,,
10150,Spannband Tank,,1 Unterboden,,1 Unterboden,,,,
10151,Spiegelglas,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10152,Stellelement für Zentralverriegelung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10153,Steuerkette,,2 Motorraum,,2 Motorraum,,,,
10154,Stütze Heckwischer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10155,Stütze Schalttafel,,4 Innenraum,,4 Innenraum,,,,
10156,Stützlager,,2 Motorraum,,2 Motorraum,,,,
10157,Sturzstrebe,,2 Motorraum,,2 Motorraum,,,,
10158,Tachowelle,,2 Motorraum,,2 Motorraum,,,,
10159,Tank,Kraftstoffbehälter; Benzintank; Brennstoffbehälter; Benzinbehälter; Dieseltank; Dieselbehälter,1 Unterboden,,1 Unterboden,,,,
10160,Tankeinfüllstutzen,,1 Unterboden,,1 Unterboden,,,,
10161,Tankklappe,Klappe Kraftstoffeinfüllstutzen; Klappe Einfüllstutzen,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
10162,Tankklappenzug,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20012,,
10163,Tankverschluss,Verschlussdeckel; Tankdeckel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
10164,Thermodeckel,,2 Motorraum,,2 Motorraum,,,,
10165,Thermostat,Temperaturregler,2 Motorraum,,2 Motorraum,,,,
10166,Thermostatgehäuse,,2 Motorraum,,2 Motorraum,,,,
10167,Türbremse,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10355,
10168,Türfeststeller,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10355,
10169,Türschloss,Schloss Tuer,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10355,
10170,Turbolader,G-Lader,2 Motorraum,,2 Motorraum,,,,
10171,Vakuumpumpe,Pumpe Vakuum,2 Motorraum,,2 Motorraum,,,,
10172,Ventildeckel,,2 Motorraum,,2 Motorraum,,,,
10173,Verdampfergehäuse,Heizungsgehäuse; Gebläsegehäuse; Gebläsekasten,4 Innenraum,,4 Innenraum,,,,
10174,Vergaser,,2 Motorraum,,2 Motorraum,,,,
10175,Vergaserflansch,,2 Motorraum,,2 Motorraum,,,,
10176,Verteilerfinger,,2 Motorraum,,2 Motorraum,,,,
10177,Verteilergetriebe,,2 Motorraum,,2 Motorraum,,,,
10178,Verteilerkappe,Zündverteilerkopf,2 Motorraum,,2 Motorraum,,,,
10179,Vorderwand,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10180,Wasserpumpe,,2 Motorraum,,2 Motorraum,,,,
10181,Wischerarm,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10182,Wischergetriebe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10183,Zahnriemenscheibe Kurbelwelle,Spannrolle Kurbelwelle,2 Motorraum,,2 Motorraum,,,,
10184,Zahnriemenscheibe Nockenwelle,Spannrolle Nockenwelle,2 Motorraum,,2 Motorraum,,,,
10185,Zahnriemenschutz,Zahnriemenverkleidung,2 Motorraum,,2 Motorraum,,,,
10186,Zentralverriegelungspumpe,Pumpe Zentralverrriegelung,4 Innenraum,,4 Innenraum,,,,
10187,Zugstrebe,,1 Unterboden,,1 Unterboden,,30000,,
10188,Zusatzluftschieber,,4 Innenraum,,4 Innenraum,,,,
10189,Airbag Kontakteinheit,Airbag Wickelfeder,4 Innenraum,,4 Innenraum,,20020,,
10190,Anlasser,Starter,2 Motorraum,,2 Motorraum,,,,
10191,Antenne elektrisch,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10192,Blinker,Blinkleuchte; Lichtsignalgeber,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10193,Blinker Außenspiegel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20008,10609,"Parent Part auch 10584-10586, 10602-10605"
10194,Blinker Kotflügel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10610,"Parent Part no ist auch 10350, 10567-10569"
10195,Blinkerschalter,Blinkerkombischalter,4 Innenraum,,4 Innenraum,,,,
10196,Bordcomputer,,4 Innenraum,,4 Innenraum,,,,
10197,Bordcomputer Display,Info-Display,4 Innenraum,,4 Innenraum,,,,
10198,CD-Player,,4 Innenraum,,4 Innenraum,,,,
10199,CD-Wechsler,,4 Innenraum,,4 Innenraum,,,,
10200,Drehzahlmesser,Tourenzähler,4 Innenraum,,4 Innenraum,,,,
10201,DVD-Player,,4 Innenraum,,4 Innenraum,,,,
10202,Einspritzanlage Benzin,Einspritzeinheit; Einspritzunterteil Monopoint,2 Motorraum,,2 Motorraum,,,,
10203,Elektro Einbausatz,,2 Motorraum,,2 Motorraum,,,,
10204,Elektrolüfter,,2 Motorraum,,2 Motorraum,,,11898,
10205,Fensterheber,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,,
10206,Hauptfernscheinwerfer,Scheinwerfereinsatz; Fernscheinwerfer,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10207,Fernscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10208,Freisprecheinrichtung,,4 Innenraum,,4 Innenraum,,,,
10209,Gebläsemotor,Heizgebläse,4 Innenraum,,4 Innenraum,,,,
10210,Hauptscheinwerfer,Doppelscheinwerfer komplett,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10211,Heizungsregler,,4 Innenraum,,4 Innenraum,,,,
10212,Hupe,Signalhorn; Fanfare,2 Motorraum,,2 Motorraum,,,,
10213,Innenleuchte,,4 Innenraum,,4 Innenraum,,,,
10214,Instrumentenkombination,,4 Innenraum,,4 Innenraum,,,,
10215,Kabel Airbag,,4 Innenraum,,4 Innenraum,,20020,,
10216,Kabel Kühlergebläse,,4 Innenraum,,4 Innenraum,,,,
10217,Kabel Lichtmaschine,,2 Motorraum,,2 Motorraum,,,,
10218,Kabel Motor,,2 Motorraum,,2 Motorraum,,,,
10219,Kabel Sitzheizung,,4 Innenraum,,4 Innenraum,,,,
10220,Kabel Tür,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20008,10355,
10221,Kabel Zündung,,4 Innenraum,,4 Innenraum,,,,
10222,Kaltstartventil,,2 Motorraum,,2 Motorraum,,,,
10223,Kennzeichenleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,,
10224,Kombischalter,,4 Innenraum,,4 Innenraum,,,,
10225,Kontrollleuchte,,4 Innenraum,,4 Innenraum,,,,
10226,Kurbelwellensensor,,2 Motorraum,,2 Motorraum,,,,
10227,Lambdasonde,Lamdasonde; O2-Sensor,1 Unterboden,,1 Unterboden,,,,
10228,Lautsprecher,,4 Innenraum,,4 Innenraum,,,,
10229,Leerlaufregler,,2 Motorraum,,2 Motorraum,,,,
10230,Lichtmaschine,Generator,2 Motorraum,,2 Motorraum,,,,
10231,Luftmengenmesser,,2 Motorraum,,2 Motorraum,,,,
10232,Massekabel,,2 Motorraum,,2 Motorraum,,,,
10233,Motor Fensterheber,Fensterhebermotor,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,,
10234,Motor Klappscheinwerfer,Klappscheinwerfermotor,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10235,Motor Kopfstützenverstellung,Kopfstützenverstellungsmotor; Motor Koppfstützenverstellung,4 Innenraum,,4 Innenraum,,,,
10236,Motor Leuchtweitenregulierung,Leutweitenregulierungsmotor,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10237,Motor Schiebedach,Schiebedachmotor,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20008,,
10238,Motor Verdeck,Verdeckmotor,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20008,10340,
10239,Navigationssystem,,4 Innenraum,,4 Innenraum,,,,
10240,Nebelscheinwerfer,Nebellampe; Einsatz Nebelscheinwerf,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,11084,
10241,Nebelschlussleuchte,Nebel-Schlussleuchte,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,,
10242,Neigungsmesser,,4 Innenraum,,4 Innenraum,,,,
10243,Nockenwellensensor,,2 Motorraum,,2 Motorraum,,,,
10244,Öldruckanzeige,,4 Innenraum,,4 Innenraum,,,,
10245,Ölstandssensor,,2 Motorraum,,2 Motorraum,,,,
10246,Öltemperaturanzeige,,4 Innenraum,,4 Innenraum,,,,
10247,Parkleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10248,Radio,,4 Innenraum,,4 Innenraum,,,,
10249,Relais für ABS,,2 Motorraum,,2 Motorraum,,20031,,
10250,Relais für Blinklicht,,2 Motorraum,,2 Motorraum,,,,
10251,Relais für Fensterheber,,2 Motorraum,,2 Motorraum,,,,
10252,Relais für heizbare Heckscheibe,,2 Motorraum,,2 Motorraum,,,,
10253,Relais für Intervallschaltung,,2 Motorraum,,2 Motorraum,,,,
10254,Relais für Klimaanlage,,2 Motorraum,,2 Motorraum,,,,
10255,Relais für Kraftstoffpumpe,,2 Motorraum,,2 Motorraum,,,,
10256,Relais für Lüfter,Schaltanlage Lüfter,2 Motorraum,,2 Motorraum,,,,
10257,Relais fürNebelschlussleuchte,,2 Motorraum,,2 Motorraum,,,,
10258,Relais für Vorwärmung,,2 Motorraum,,2 Motorraum,,,,
10259,Relais für X-Kontakt,,2 Motorraum,,2 Motorraum,,,,
10260,Rückleuchte,Schlussleuchte; Rücklicht; Heckleuchte; Hecklicht,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,,
10261,Rückleuchte Leiterplatte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,10260,
10262,Rückleuchtenband,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,,
10263,Schalter für Außenspiegel,,4 Innenraum,,4 Innenraum,,,,
10264,Schalter für Fensterheber,,4 Innenraum,,4 Innenraum,,,,
10265,Schalter für Heckscheibe,,4 Innenraum,,4 Innenraum,,,,
10266,Schalter für Heizgebläse,,4 Innenraum,,4 Innenraum,,,,
10267,Schalter für Klimaanlage,,4 Innenraum,,4 Innenraum,,,,
10268,Schalter für Kopfstützenverstellung,,4 Innenraum,,4 Innenraum,,,,
10269,Schalter für Leuchtweitenregelung,,4 Innenraum,,4 Innenraum,,,,
10270,Schalter für Licht,,4 Innenraum,,4 Innenraum,,,,
10271,Schalter für Nebelscheinwerfer,Regler Nebelscheinwerfer,4 Innenraum,,4 Innenraum,,,,
10272,Schalter für Nebelschlussleuchte,,4 Innenraum,,4 Innenraum,,,,
10273,Schalter für Schiebedach,,4 Innenraum,,4 Innenraum,,,,
10274,Schalter für Sitzheizung,Regler Sitzheizung,4 Innenraum,,4 Innenraum,,,,
10275,Schalter für Warnblinker,,4 Innenraum,,4 Innenraum,,,,
10276,Schalter für Wischer,Wischerschalter,4 Innenraum,,4 Innenraum,,,,
10277,Scheibenwaschanlagenpumpe,Pumpe Scheibenreinigung; Pumpe Scheibenwaschanlage,2 Motorraum,,2 Motorraum,,,,
10278,Scheinwerferglas,Streuscheibe,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10651,
10279,Sensor für ABS,ABS Impulsgeber; Drehzahlfühler; ABS-Sensor; ALB-Impulsgeber,2 Motorraum,,2 Motorraum,,20031,,
10280,Sicherungskasten,,4 Innenraum,,4 Innenraum,,,,
10281,Stand-/Blinkleuchte,Standleuchte Blinkleuchte; Standlicht Blinklicht,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10282,Standheizung,,2 Motorraum,,2 Motorraum,,,,
10283,Standleuchte,Standlicht,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10284,Stellantrieb Tempomat,,2 Motorraum,,2 Motorraum,,,,
10285,Stellmotor Scheinwerfer,,2 Motorraum,,2 Motorraum,,,,
10286,Stellventil,,2 Motorraum,,2 Motorraum,,,,
10287,Steuereinheit Pumpe Zentralverriegelung,Steuereinheit Zentralverriegelungspumpe,2 Motorraum,,2 Motorraum,,,,
10288,Steuergerät,,2 Motorraum,,2 Motorraum,,,,
10289,Steuergerät Check-Control,,2 Motorraum,,2 Motorraum,,,,
10290,Tachometer,Geschwindigkeitsmesser; Geschwindigkeitsanzeiger,4 Innenraum,,4 Innenraum,,,,
10291,Tankanzeige,,4 Innenraum,,4 Innenraum,,,,
10292,Tankgeber,,1 Unterboden,,1 Unterboden,,,,
10293,Temperaturanzeige,,4 Innenraum,,4 Innenraum,,,,
10294,Temperaturfühler,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10295,Tempomatschalter,,4 Innenraum,,4 Innenraum,,,,
10296,Thermoschalter,,4 Innenraum,,4 Innenraum,,,,
10297,Uhr,,4 Innenraum,,4 Innenraum,,,,
10298,Verbrauchsanzeiger,,4 Innenraum,,4 Innenraum,,,,
10299,Verteiler,Zündverteiler,2 Motorraum,,2 Motorraum,,,,
10300,Warmlaufregler,,2 Motorraum,,2 Motorraum,,,,
10301,Wasserstandsschalter,,4 Innenraum,,4 Innenraum,,,,
10302,Widerstand Gebläsemotor,,4 Innenraum,,4 Innenraum,,,,
10303,Wischermotor,Wischerantrieb; Scheibenwischermotor; Scheibenwischer-Motor,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10304,Wischermotor Scheinwerfer,Scheinwerferwischermotor,2 Motorraum,,2 Motorraum,,20003,,
10305,Zentralverriegelung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10306,Zündanlassschalter,Zuendschlosskontaktplatte; Kontaktplatte,4 Innenraum,,4 Innenraum,,,,
10307,Zündkabel,,2 Motorraum,,2 Motorraum,,,,
10308,Zündschloss,Lenkschloss; Lenkradschloss,4 Innenraum,,4 Innenraum,,,,
10309,Zündspule,,2 Motorraum,,2 Motorraum,,,,
10310,Zündungsmodul,Zündungsmodul TSZ,2 Motorraum,,2 Motorraum,,,,
10311,Ansaugstutzen G-Lader,,2 Motorraum,,2 Motorraum,,,,
10312,Ansaugstutzen Luftfilter,,2 Motorraum,,2 Motorraum,,,,
10313,Ansaugstutzen Ölpumpe,,2 Motorraum,,2 Motorraum,,,,
10314,Ansaugstutzen Turbolader,,2 Motorraum,,2 Motorraum,,,,
10315,Antriebswelle,Gelenkwelle,1 Unterboden,,1 Unterboden,,30000,,
10316,Antriebswelle (ABS),Gelenkwelle (ABS),1 Unterboden,,1 Unterboden,,30000,,
10317,Auslassventil,,2 Motorraum,,2 Motorraum,,,,
10318,Automatikgetriebe,Automatikgetriebe komplett; Getriebe,2 Motorraum,,2 Motorraum,,,,
